InstitutionCode,CollectionCode,CatalogNumber,CatalogNumberText,CatalogNumberNumeric,Collector,CollectorNumber,FieldNumber,DateLastModified,BasisOfRecord,YearCollected,MonthCollected,DayCollected,TimeCollected,VerbatimCollectingDate,Notes,FieldNotes,JulianDay,TimeOfDay,HigherGeography,ContinentOcean,IslandGroup,Island,Country,StateProvince,County,Locality,Latitude,DecimalLatitude,VerbatimLatitude,Longitude,DecimalLongitude,VerbatimLongitude,HorizontalDatum,OriginalCoordinateSystem,GeorefMethod,CoordinatePrecision,CoordinateUncertaintyInMeters,LatLongComments,BoundingBox,MinimumElevation,MinimumElevationInMeters,MaximumElevation,MaximumElevationInMeters,VerbatimElevation,MinimumDepth,MinimumDepthInMeters,MaximumDepth,MaximumDepthInMeters,VerbatimDepth,ScientificName,HigherTaxon,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,ScientificNameAuthor,IdentifiedBy,IdentificationModifier,YearIdentified,MonthIdentified,DayIdentified,TypeStatus,Sex,PreparationType,Preparations,Tissues,IndividualCount,AgeClass,GenBankNum,PreviousCatalogNumber,OtherCatalogNumbers,RelatedCatalogItem,RelatedCatalogedItems,RelationshipType,Remarks
BPBM,I,1,1,1,"U.S.S.S. ""Albatross""",,5718,2003-09-01THawaiian St:andard Time,specimen,1887,1,1,,1 Jan 1887 - 31 Dec 1887,,,,,,Pacific Ocean,California,California,,,,[coast of],,,,,,,,degminsec,,,,,,,,,,,,,,,,Raja rhina,,Animalia,Chordata,ELASMOBRANCHII,RAJIFORMES,RAJIDAE,Raja,rhina,,(Jordan and Gilbert),,,,,,,,,,,0,,,,,,,,
USNM,Vertebrate Zoology; Fishes,1,1,,S. Baird,,,2008-10-30T15:26:00Z,,1850,,,,,,,,,,North America,,,United States,New York,,New York: Lake George,,,,,,,,,,,,,,,,,,,,,,,,Catostomus catostomus,,Animalia,Chordata,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,catostomus,,,,,,,,,,Dry Osteological Specimen; Ledger Image,Dry Osteological Specimen; Ledger Image,,1,,,,,,,,
UCM,Fish,1,1,1,Chauncey Juday & Junius Henderson,,,2006-09-28T00:00:00-06:00,PreservedSpecimen,1903,9,1,,September-October 1903,,,,,,,,,USA,Colorado,Boulder,"Boulder Creek, near Boulder",40.015833,40.015833,4428856,-105.264519,-105.264519,476954,,,,,,,,,,,,,,,,,,Couesius dissimilis,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Couesius,dissimilis,,,,,,,,,,,,,5,,,,,,,,
UAM,Fish,1,1,1,F. Calhoon,,,2010-02-22T03:33:21Z,PreservedSpecimen,1956,5,30,,30 May 1956,"http://arctos.database.museum/guid/UAM:Fish:1

; not found during 2008 inventory",http://arctos.database.museum/guid/UAM:Fish:1,151,,,North America,,,United States,Alaska,,Chena Landing,,,,,,,,,,,,,,,,,,,,,,,,Lethenteron camtschaticum,,,,Cephalaspidomorphi,,Petromyzontidae,Lethenteron,camtschaticum,,"(Tilesius, 1811)","Andres Lopez, F. L. Schultz",,,,,,,whole organism (ethanol),whole organism (ethanol),,1,,,,,,,,"

; not found during 2008 inventory"
NCSM,FISH,1,1,1,NCWRC,,FISH1-0001,2009-04-21TEastern Day:light Time,PreservedSpecimen,1941,10,n/k,,,"This lot was originally cataloged as NCSM 1 (n=1), NCSM 2 (n=1), NCSM 3 (n=1), NCSM 4 (n=1), and NCSM 5 (n=1) but was combined on 30 November 2006.",,,,,North America,,,United States,North Carolina,Cumberland,"Fayettevile Hatchery [Bones Creek], [ca. 8.4 air miles W center Fayetteville]",35.029598236084,35.029598236084,,-79.0410003662109,-79.0410003662109,,WGS84,,,,,,,,,,,,,,,,n/k,Erimyzon sucetta,,,,,,Catostomidae,Erimyzon,sucetta,,,,,,,,,,5 (70% ethanol),5 (70% ethanol),,5 (70% ethanol),,,None,None,,,,"This lot was originally cataloged as NCSM 1 (n=1), NCSM 2 (n=1), NCSM 3 (n=1), NCSM 4 (n=1), and NCSM 5 (n=1) but was combined on 30 November 2006."
LACM,Fishes,1,1,1,,,,2010-11-09 00:00:00,Voucher specimen(s),1930,7,5,,05 Jul 1930,05 Jul 1936? Dated 5 July 1930 on original label in jar.  JAS. 30 Oct 2008.,,,,,,,,USA,California,Orange,Newport Bay,,,,,,,,,,,,,,,,,,,,,,,,Branchiostoma californiense,,Animalia,Chordata,Pisces,Amphioxiformes,Branchiostomidae,Branchiostoma,californiense,,,,,,,,,,,,,5,,,,,,,,05 Jul 1936? Dated 5 July 1930 on original label in jar.  JAS. 30 Oct 2008.
DGR,Fish,1,1,1,William K. Stumpff,,,2005-03-14T12:00:00Z,PreservedSpecimen,1993,6,4,,04-Jun-1993,http://arctos.database.museum/guid/DGR:Fish:1total length 82mm weight 5.8 grams; total length 82mm weight 5.8 grams,http://arctos.database.museum/guid/DGR:Fish:1,155,,"North America, United States, New Mexico, Rio Arriba County",North America,,,United States,New Mexico,Rio Arriba County,T21N R11E Sec. 25 nw 1/4Rio De La Cebolla,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus clarki,Salmoniformes Salmonidae Oncorhynchus clarki,,,,Salmoniformes,Salmonidae,Oncorhynchus,clarki,,,unknown,,,,,,not recorded,unknown (frozen),unknown (frozen),,1,,,NK=22114; institutional catalog number=- F -,NK=22114; institutional catalog number=- F -,,,,total length 82mm weight 5.8 grams; total length 82mm weight 5.8 grams
WNMU,Fish,1,1,1,D. L. Propst,,,2007-03-05T04:24:34Z,PreservedSpecimen,1983,8,2,,02-Aug-1983,http://arctos.database.museum/guid/WNMU:Fish:1,http://arctos.database.museum/guid/WNMU:Fish:1,214,,"North America, United States, Virginia, Pittsylvania County",North America,,,United States,Virginia,Pittsylvania County,Roanoke Dr; Whitethorn Creek at CR 683 Bridge,,,,,,,,,,,,,,,,,,,,,,,,Esox niger,Actinopterygii Esociformes Esocidae Esox niger,,,Actinopterygii,Esociformes,Esocidae,Esox,niger,,,unknown,,,,,,not recorded,whole organism (alcohol),whole organism (alcohol),,1,,,original identifier=DLP 505,original identifier=DLP 505,,,,
KU,KUIT,1,1,,"Wiley, Edward O",,EOW 90-06,,,,,,,1990/06/20,,,,,North America USA South Carolina Charleston,North America,,,USA,South Carolina,Charleston,Charleston Harbor,32.7534,32.7534,32.753383 N,-79.9105,-79.9105,79.910521 W,,,,,,,,,,,,,0,0,0,0,,Paralichthys lethostigma,,,,Actinopterygii,Pleuronectiformes,Paralichthyidae,Paralichthys,lethostigma,,,,,,,,,,0 Genbank; 0 Genbank; 0 Genbank; 100 Tissue,0 Genbank; 0 Genbank; 0 Genbank; 100 Tissue,,,,,,,,,,
KU,KUI,1,1,,"Moodie, R L",,Z1,,,,,,,1909/04/00,,,,,North America USA Kansas Jefferson,North America,,,USA,Kansas,Jefferson,"Kansas River, 3 mi. N of Lawrence",39.04,39.04,39.0400 N,-95.28,-95.28,95.2800 W,,,,,,,,,,,,,0,0,0,0,,Lepisosteus platostomus,,,,Actinopterygii,Semionotiformes,Lepisosteidae,Lepisosteus,platostomus,,,"Cross, Frank",,,,,,,1 EtOH,1 EtOH,,,,,,,,,,
SBMNH,FH,1,1,1,,,,2006-10-01TPacific Day:light Time,PreservedSpecimen,1966,12,28,,,,,12,,,North America,,,United States,California,Orange County,Doheney Beach,33.462223053,33.462223053,,-117.6800003052,-117.6800003052,,,,,,,,,,,,,,,,,,,Gobiesox rhessodon,,Animalia,Chordata,,Perciformes,Gobiesocidae,Gobiesox,rhessodon,,,,,,,,,,,,,1,,,,,,,,
UNSM,Fish,1,1,1,"Lynch, J.D.; Goldstein, R.M.",,,2007-09-12TCentral Day:light Time,Voucher,1973,7,12,,12 Jul 1973,Below Superior-Cortland Dam,,,,,North America,,,U.S.A.,Nebraska,Webster,"Republican River, 2 West Guide Rock; T1N,R9W,; Republican River",,,,,,,,,,,,,,,,,,,,,,,,Scaphirhynchus platorynchus,,Animalia,Chordata,Osteichthyes,Acipenseriformes,Acipenseridae,Scaphirhynchus,platorynchus,,,,,,,,,Sex Unknown,Alcoholic,Alcoholic,,1,,,,,,,,Below Superior-Cortland Dam
TU,Fish,1,,,R.D. Suttkus & Field Zoology Class,RDS 2042,RDS 2042,2008-09-11 09:37:33,PreservedSpecimen,1951,1,7,,,,,,,,,,,USA,Louisiana,Orleans,Lake Pontchartrain at south end of causeway on Rt. 11,30.155,,,-89.85639,,,,,,,,,,,,,,,,,,,,Menidia beryllina,,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinidae,Menidia,beryllina,,,,,,,,,,,,,919,,,,,,,,
CU,CUMV-Fish,1,1,1,AH Wright,,,2009-01-16TEastern Sta:ndard Time,voucher,1921,5,9,,9/5/1921,,,,,,N. America,,,USA,Georgia,Charlton,"Okefinokee Swamp, Billy's Island",,,,,,,,,,,,,,,,,,,,,,,,Erimyzon sucetta,,Animalia,Chordata,Actinopterygii,Cypriniformes,Catostomidae,Erimyzon,sucetta,,,"Friel, JP",,,,,,,fluid,fluid,,6,,,,,,,,
MCZ,Fish,1,1,1,Watson_L,,,2001-09-12T12:00:00Z,PreservedSpecimen,,,,,0/0/1853-0/0/1853,http://mczbase.mcz.harvard.edu/SpecimenDetail.cfm?GUID=MCZ:Fish:1This lot now MCZ 24637/24657 + 43093; [=Etheostoma flabellare lineolatum],http://mczbase.mcz.harvard.edu/SpecimenDetail.cfm?GUID=MCZ:Fish:1,,,"North America, USA, Illinois, Adams",,,,USA,Illinois,Adams,Small creeks near Quincy,,,,,,,,,,,,,,,,,,,,,,,,Catonotus lineolatus,Percidae Catonotus lineolatus,,,,,Percidae,Catonotus,lineolatus,,,"Bruce B. Collette, Knapp_LW",,,,,"SYNTYPES in <a href=""http://mczbase.mcz.harvard.edu/PublicationResults.cfm?publication_id=0""> no agent </a>",,,,,1,,,field number=WATSON:QUINCY_C; previous number=USNM 1801,field number=WATSON:QUINCY_C; previous number=USNM 1801,,,,This lot now MCZ 24637/24657 + 43093; [=Etheostoma flabellare lineolatum]
MMNS,Fishes,1,,,WPA,,,,,1936,3,26,,,,,,,,,,,USA,Mississippi,Hinds,Spring Lake back of old capital,,,,,,,,,,,,,,,,,,,,,,,,Ammocrypta beani,,,,,Perciformes,Percidae,,,,,,,,,,,,,,,1,,,1,,,,,
